misty	"groove" holmes	7/16/66 Prestige	
stars	simply red	east west	98636
the right thing	simply red	elektra	69487
deep deep trouble	simpsons	geffen	19007
do the bart man	simpsons	geffen album	cut
soothe me	sims twins	sar	117
do it like mama	simtec & wylie	Shama	4003
gotta' get over the hump	simtec & wylie	Mister Chand	8005
nothing compares to u	sinead o'connor	ensign	23488
the emperor's new clothes	sinead o'connor	ensign	23528
someone loves you joe	singing belles	madison	126
jingle bells	singing dogs	rca	1020
dominique	singing nun	philips	40152
tous les chemins	singing nun	philips	40165
thanks to you	sinnamon	Becket	45-11
kiss them for me	siouxsie and the banshees	geffen	19031
peek-a-boo	siouxsie and the banshees	geffen	27760
beautiful obsession	sir chauncey	warner brothers	5150
dynamite woman	sir douglas quintet	smash	2233
mendocino	sir douglas quintet	smash	2191
she’s about a mover	sir douglas quintet	tribe	8308
the rains came	sir douglas quintet	tribe	8314
mustang sally	sir mack rice	Blue Rock	4014
baby got back	sir mix-a-lot	def american	18947
my hooptie	sir mix-a-lot	Nastymix	76988
posse on broadway	sir mix-a-lot	nastymix	75555
the lord's prayer	sister janet mead	a&m	1491
all american girls	sister sledge	Cotillion	46007
b.y.o.b. (bring your own baby)	sister sledge	Cotillion	99885
frankie	sister sledge	atlantic	89547
got to love somebody	sister sledge	cotillion	45007
he's just a runaway	sister sledge	Cotillion	46017
he’s the greatest dancer	sister sledge	cotillion	44245
lost in music	sister sledge	Cotillion	45001
love don't you go through no changes on me	sister sledge	Atco	7008
my guy	sister sledge	cotillion	47000
next time you'll know	sister sledge	Cotillion	46012
we are family	sister sledge	cotillion	44251
are you lonely?	sisters	A&M	1259
sole sole sole	siw malmkvist & umberto marcato	jubilee	5479
a casual look	six teens	flip	315
(i can’t help you) i’m falling too	skeeter davis	RCA	7767
gonna get along without you now	skeeter davis	RCA	8357
he says the same things to me	skeeter davis	RCA	8288
i can’t stay mad at you	skeeter davis	RCA	8219
i’m saving my love	skeeter davis	RCA	8176
my last date	skeeter davis	RCA	7825
the end of the world	skeeter davis	RCA	8098
18 and life	skid row	atlantic	88883
i remember you	skid row	atlantic	88886
cherry pie	skip & flip	brent	7010
fancy nancy	skip & flip	brent	7005
it was i	skip & flip	brent	7002
cherry pie	skip and flip	Brent	7010
bless my soul	skip mahoney and the casuals	Abet	9466
thinking about your love	skipworth & turner	4th & b’way	414
slip away	skool boyz	Columbia	04481
i’ll have to go away	skylark	capitol	3661
wildflower	skylark	capitol	3511
how much	skyliners	calico	114
it happened today	skyliners	calico	109
oh how happy	skyliners	rca	11243
pennies from heaven	skyliners	calico	117
since i don’t have you	skyliners	calico	103
the loser	skyliners	jubilee	5506
this i swear	skyliners	calico	106
bad boy	skyy	Salsoul	7057
call me	skyy	salsoul	2152
dancin' to be dancin'	skyy	Salsoul	7077
first time around	skyy	Salsoul	2087
givin' it (to you)	skyy	Capitol	5560
here's to you	skyy	Salsoul	2132
high	skyy	Salsoul	2113
let love shine	skyy	Salsoul	7045
let's celebrate	skyy	Salsoul	7020
love all the way	skyy	Atlantic	88873
movin' violation	skyy	Salsoul	7038
real love	skyy	atlantic	88816
show me the way	skyy	Salsoul	7061
skyyzoo	skyy	Salsoul	2121
start of a romance	skyy	Atlantic	88932
superlove	skyy	Salsoul	2136
up and over (stronger and better)	skyy	Atlantic	87521
when you touch me	skyy	Salsoul	7029
cum on feel the noize	slade	polydor	15069
gudbuy t’ jane	slade	polydor	15060
mama weer all crazee now	slade	polydor	15053
my oh my	slade	cbs associated	04528
run runaway	slade	cbs associated	04398
take me back home	slade	polydor	15046
you cheated	slades	domino	500
fly to the angels	slaughter	chrysalis	23527
real love	slaughter	chrysalis	50401
spend my life	slaughter	chrysalis	23605
up all night	slaughter	chrysalis	23486
just a touch of love	slave	Cotillion	45005
ooohh	slave	Cotillion	99696
shake it up	slave	Cotillion	99838
slide	slave	cotillion	44218
snap shot	slave	Cotillion	46022
the party song	slave	Cotillion	44231
wait for me	slave	Cotillion	46028
watching you	slave	cotillion	46006
pushin' your luck	sleepy king	rca	0489
sunrise	slick	Fantasy/WMOT	892
children's story	slick rick	Def Jam	68626
hey young world	slick rick	Def Jam	68951
i shouldn't have done it	slick rick	Def Jam	73739
teenage love	slick rick	Def Jam	08105
forever & ever	slik	arista	0179
baby scratch my back	slim harpo	excello	2273
i'm your bread maker	slim harpo	excello	2282
rainin' in my heart	slim harpo	excello	2194
shake your hips	slim harpo	excello	2278
te-ni-nee-ni-nu	slim harpo	Excello	2294
tip on in	slim harpo	excello	2285
tip on in part 1	slim harpo	Excello	2285
do it again/billie jean	slingshot	Quality	7044
crazay	sly & the family stone	a&m	2878
dance to the music	sly & the family stone	epic	10256
everybody is a star	sly & the family stone	epic	10555
everyday people	sly & the family stone	epic	10407
family affair	sly & the family stone	epic	10805
frisky	sly & the family stone	epic	11060
hot fun in the summertime	sly & the family stone	epic	10497
i get high on you	sly & the family stone	epic	50135
i want to take you higher	sly & the family stone	epic	10450
if you want me to stay	sly & the family stone	epic	11017
life	sly & the family stone	epic	10353
loose booty	sly & the family stone	epic	50033
m’lady	sly & the family stone	epic	10353
remember who you are	sly & the family stone	Warner	49062
runnin’ away	sly & the family stone	epic	10829
sing a simple song	sly & the family stone	Epic	10407
smilin’	sly & the family stone	epic	10850
stand!	sly & the family stone	epic	10450
thank you (falettinme be mice elf agin)	sly & the family stone	epic	10555
time for livin’	sly & the family stone	epic	11140
let’s go all the way	sly fox	capitol	5463
i get high on you	sly stone	Epic	50135
teardrops	small change	Mercury	868682
why	small change	Mercury	868228
itchycoo park	small faces	immediate	501
tin soldier	small faces	immediate	5003
sesame's treet	smart e's	pyrotech	10083
baby it’s you	smith	dunhill	4206
take a look around	smith	dunhill	4228
what am i gonna do	smith	dunhill	4238
(i've been a winner, i've been a loser) i've been in love	smith connection	Music Merchant	1012
a girl like you	smithereens	enigma	44480
blues before and after	smithereens	enigma	44516
too much passion	smithereens	capitol	44784
no not much	smoke ring	buddah	77
and i don't love you	smokey robinson	Tamla	1735
baby come close	smokey robinson	tamla	54239
baby that's backatcha	smokey robinson	tamla	54258
being with you	smokey robinson	tamla	54321
blame it on love	smokey robinson	tamla	1684
cruisin'	smokey robinson	tamla	54306
daylight and darkness	smokey robinson	tamla	54293
double good everything	smokey robinson	sbk	07370
ebony eyes	smokey robinson	gordy	1714
everything you touch	smokey robinson	Motown	2031
heavy on pride (light on love)	smokey robinson	Tamla	54313
hold on to your love	smokey robinson	Tamla	1828
i am i am	smokey robinson	tamla	54251
i can't find	smokey robinson	Tamla	1756
i've made love to you a thousand times	smokey robinson	Tamla	1655
it's her turn to live	smokey robinson	tamla	54246
just to see her	smokey robinson	motown	1877
let me be the clock	smokey robinson	tamla	54311
love don't give no reason	smokey robinson	Motown	1925
old fashioned love	smokey robinson	tamla	1615
one heartbeat	smokey robinson	motown	1897
open	smokey robinson	Tamla	54267
pops we love you	smokey robinson	motown	1455
quiet storm	smokey robinson	tamla	54265
sweet harmony	smokey robinson	tamla	54233
tell me tomorrow (part 1)	smokey robinson	tamla	1601
the agony and the ecstasy	smokey robinson	tamla	54261
there will come a day	smokey robinson	tamla	54279
virgin man	smokey robinson	tamla	54250
vitamin u	smokey robinson	Tamla	54284
we've saved the best for last	smokey robinson	arista	9785
what's too much	smokey robinson	motown	1911
you are forever	smokey robinson	tamla	54327
blame it on love	smokey robinson & barbara mitchell	Tamla	1684
abraham, martin and john	smokey robinson & the miracles	Tamla	54184
baby, baby don't cry	smokey robinson & the miracles	Tamla	54178
crazy about the la la la	smokey robinson & the miracles	Tamla	54206
doggone right	smokey robinson & the miracles	Tamla	54183
here i go again	smokey robinson & the miracles	Tamla	54183
i can't stand to see you cry	smokey robinson & the miracles	Tamla	54225
i don't blame you at all	smokey robinson & the miracles	Tamla	54205
i second that emotion	smokey robinson & the miracles	Tamla	54159
if you can want	smokey robinson & the miracles	Tamla	54162
more love	smokey robinson & the miracles	Tamla	54152
point it out	smokey robinson & the miracles	Tamla	54189
satisfaction	smokey robinson & the miracles	Tamla	54211
special occasion	smokey robinson & the miracles	Tamla	54172
the love i saw in you was just a mirage	smokey robinson & the miracles	Tamla	54145
the tears of a clown	smokey robinson & the miracles	Tamla	54199
we've come too far to end it now	smokey robinson & the miracles	Tamla	54220
who's gonna take the blame	smokey robinson & the miracles	Tamla	54194
yester love	smokey robinson & the miracles	Tamla	54167
living next door to alice	smokie	rso	860
needles and pins	smokie	rso	881
(meanwhile) back at the ranch	smoove	EastWest	98620
all about her	smoove	EastWest	98555
oops up	snap	arista	2060
rhythm is a dancer	snap	arista	2437
the power	snap	arista	2013
ooops up	snap!	Arista	2060
don’t let me in	sneaker	handshake	02714
more than just the two of us	sneaker	handshake	02557
driver's seat	sniff 'n the tears	atlantic	3604
what's my name?	snoop dogg	Death Row	98340
what’s my name?	snoop doggy dogg	death row	98340
girl i’ve been hurt	snow	east west	98438
informer	snow	east west	98471
are you sure	so	emi-manhattan	50109
bad luck	social distortion	epic	74229
tainted love	soft cell	sire	49855
i'm gonna prove it	soft tones	Avco	4616
hippy chick	soho	atco	98908
baby come on home	solomon burke	Atlantic	2314
can't nobody love you	solomon burke	Atlantic	2196
cry to me	solomon burke	Atlantic	2131
detroit city	solomon burke	Atlantic	2459
down in the valley	solomon burke	Atlantic	2147
electronic magnetism	solomon burke	MGM	14221
everybody needs somebody to love	solomon burke	Atlantic	2241
goodbye baby (baby goodbye)	solomon burke	Atlantic	2226
got to get you off my mind	solomon burke	Atlantic	2276
he'll have to go	solomon burke	Atlantic	2218
i wish i knew	solomon burke	Atlantic	2507
if you need me	solomon burke	Atlantic	2185
just out of reach (of my two open arms)	solomon burke	Atlantic	2114
keep a light in the window till i come home	solomon burke	Atlantic	2378
keep looking	solomon burke	Atlantic	2349
love's street and fool's road	solomon burke	MGM	14353
only love	solomon burke	Atlantic	2308
proud mary	solomon burke	Bell	783
someone is watching	solomon burke	Atlantic	2299
take me	solomon burke	Atlantic	2416
take me (just as i am)	solomon burke	People	633
the price	solomon burke	Atlantic	2259
tonight's the night	solomon burke	Atlantic	2288
you're good for me	solomon burke	Atlantic	2205
she wears my ring	solomon king	joy	257
i don’t want to set the world on fire	somethin’ smith & the redheads	epic	9280
it’s a sin to tell a lie	somethin’ smith & the redheads	epic	9093
laugh at me	sonny	atco	6369
the revolution kind	sonny	atco	6386
a beautiful story	sonny & cher	atco	6480
a cowboys work is never done	sonny & cher	kapp	2163
all i ever need is you	sonny & cher	kapp	2151
baby don’t go	sonny & cher	reprise	0309
but you’re mine	sonny & cher	atco	6381
good combination	sonny & cher	atco	6541
have i stayed too long	sonny & cher	atco	6420
i got you babe	sonny & cher	atco	6359
just you	sonny & cher	atco	6345
little man	sonny & cher	atco	6440
little things	sonny & cher	atco	6507
living for you	sonny & cher	atco	6449
mama was a rock and roll singer papa used to write all her songs	sonny & cher	mca	40026
plastic man	sonny & cher	atco	6486
the beat goes on	sonny & cher	atco	6461
what now my love	sonny & cher	atco	6395
when you say love	sonny & cher	kapp	2176
put it in a magazine	sonny charles	Highrise	2001
black pearl	sonny charles and the checkmates ltd.	A&M	1053
proud mary	sonny charles and the checkmates ltd.	A&M	1127
bright lights big city	sonny james	capitol	3114
endlessly	sonny james	capitol	2914
first date first kiss first love	sonny james	capitol	3674
it’s just a matter of time	sonny james	capitol	2700
jenny lou	sonny james	nrc	050
lovesick blues	sonny james	capitol	3734
only the lonely	sonny james	capitol	2370
running bear	sonny james	capitol	2486
since i met you	sonny james	capitol	2595
the minute you’re gone	sonny james	capitol	4969
uh-huh-mm	sonny james	capitol	3840
young love	sonny james	capitol	3602
you’re the only world i know	sonny james	capitol	5280
confidential	sonny knight	dot	15507
if you want this love	sonny knight	aura	403
love for you	sonoma	dunhill	4365
here is where your love belongs	sons of champlin	ariola america	7653
hold on	sons of champlin	ariola america	7627
saved by the grace of your love	sons of champlin	ariola america	7664
california here i come	sophie b. hawkins	columbia	74594
damn i wish i was your lover	sophie b. hawkins	columbia	74164
hello hello	sopwith “camel”	kama sutra	217
postcard from jamaica	sopwith “camel”	kama sutra	224
this time around	soul	Musicor	1472
runaway train	soul asylum	columbia	74966
some kind of wonderful	soul brothers six	atlantic	2406
can't give up a good thing	soul children	Stax	3206
don’t take my kindness for weakness	soul children	stax	0132
finders keepers	soul children	Epic	50178
hearsay	soul children	stax	0119
i’ll be the other woman	soul children	stax	0182
the sweeter he is (part 1)	soul children	stax	0050
candy rain	soul for real	Uptown/MCA	54906
every little thing i do	soul for real	Uptown/MCA	55032
million dollars	soul generation	Ebony Sounds	176
that's the way it's got to be (body and soul)	soul generation	Ebony Sounds	175
a dreams a dream	soul ii soul	virgin	98955
back to life (however do you want me)	soul ii soul	virgin	99171
get a life	soul ii soul	virgin	98981
jazzie's groove	soul ii soul	Virgin	99145
joy	soul ii soul	Virgin	98615
keep on movin’	soul ii soul	virgin	99205
missing you	soul ii soul	Virgin	98893
move me no mountain	soul ii soul	Virgin	12585
people	soul ii soul	Virgin	98928
keep on movin'	soul ii soul (featuring caron wheeler)	Virgin	99205
grits ’n cornbread	soul runners	mosoul	101
i can’t stand it	soul sisters	sue	799
explosion in your soul	soul survivors	crimson	1012
expressway to your heart	soul survivors	crimson	1010
impossible mission	soul survivors	crimson	1016
go for yourself	soul toranodoes	Burt	4000
soul train “75”	soul train gang	soul train	10400
burning spear	soulful strings	cadet	5576
93 ’til infinity	souls of mischief	jive	42157
blow your whistle	soulsearcher	Sussex	517
think	soulsearcher	Sussex	253
we the people - part i	soulsearcher	Sussex	236
the way to your heart	soulsister	emi	50217
understand this groove	sound factory	rca	62473
love means (you never have to say you’re sorry)	sounds of sunshine	ranwood	896
canadian sunset	sounds orchestral	parkway	958
cast your fate to the wind	sounds orchestral	parkway	942
divine thing	soup dragons	big life	865764
i’m free	soup dragons	big life	877568
pleasure	soup dragons	big life	867416
the mouse	soupy sales	abc-paramount	10646
free man	south shore commission	wand	11287
train called freedom	south shore commission	wand	11294
we're on the right track	south shore commission	Wand	11291
i been watchin’ you	south side movement	wand	11251
she	southcote	buddah	399
failin’ in love	souther hillman furay band	asylum	45201
safe at home	souther hillman furay band	asylum	45217
i’m so anxious	southside johnny & the asbury jukes	mercury	76007
on the beach	southside johnny & the asbury jukes	mercury	76014
walk away renee	southside johnny & the asbury jukes	atlantic	89394
smell of incense	southwest f.o.b.	hip	8002
my love is music	space	casablanca	974
the clouds	spacemen	alton	254
big noise from winnetka	spaghetti head	private stock	45014
communication	spandau ballet	chrysalis	42770
gold	spandau ballet	chrysalis	42743
only when you leave	spandau ballet	chrysalis	42792
true	spandau ballet	chrysalis	42720
and she’s mine	spanky and our gang	mercury	72926
give a damn	spanky and our gang	mercury	72831
lazy day	spanky and our gang	mercury	72732
like to get to know you	spanky and our gang	mercury	72795
making every minute count	spanky and our gang	mercury	72714
sunday mornin’	spanky and our gang	mercury	72765
sunday will never be the same	spanky and our gang	mercury	72679
yesterday’s rain	spanky and our gang	mercury	72871
cool places	sparks	atlantic	89866
i predict	sparks	atlantic	4030
wonder girl	sparks	bearsville	0006
cool places	sparks and jane wiedlin	atlantic	89866
oh let me know it (pt. 1)	special delivery	Shield	6307
the lonely one	special delivery	mainstream	5581
the lonely one	special delivery featuring terry huff	Mainstream	5581
come on, let's move it	special ed	Profile	5322
i got it made	special ed	Profile	7245
i'm the magnificent	special ed	Profile	7287
the mission	special ed	Profile	7311
lift your head and smile	special generation	Bust It	71249
love me just for me	special generation	Bust It	44604
spark of love	special generation	Bust It	44659
for you	spellbinders	columbia	43384
rumor at the honky tonk	spellbound	emi america	8002
gimme some lovin’	spencer davis group	United Artists	50108
i’m a man	spencer davis group	United Artists	50144
keep on running	spencer davis group	Atco	6400
somebody help me	spencer davis group	United Artists	50162
time seller	spencer davis group	United Artists	50202
tracy’s theme	spencer ross	columbia	41532
welcome to the ghetto	spice 1	Jive	42085
it didn’t take long	spider	dreamland	111
new romance (it’s a mystery)	spider	dreamland	100
jimmy olsen’s blues	spin doctors	epic	74929
two princes	spin doctors	epic assoc.	74804
could it be i’m falling in love	spinners	atlantic	2927
cupid/i’ve loved you for a long time	spinners	atlantic	3664
funny how time slips away	spinners	atlantic	89922
ghetto child	spinners	atlantic	2973
how could i let you get away	spinners	atlantic	2904
if you wanna do a dance	spinners	atlantic	3493
it’s a shame	spinners	v.i.p.	25057
i’ll always love you	spinners	motown	1078
i’ll be around	spinners	atlantic	2904
i’m coming home	spinners	atlantic	3027
living a little laughing a little	spinners	atlantic	3252
love don’t love nobody (part 1)	spinners	atlantic	3206
love or leave	spinners	atlantic	3309
mighty love (part 1)	spinners	atlantic	3006
one of a kind (love affair)	spinners	atlantic	2962
right or wrong	spinners	Atlantic	89689
sadie	spinners	atlantic	3268
that’s what girls are made for	spinners	tri-phi	1001
the rubberband man	spinners	atlantic	3355
then came you	spinners	atlantic	3202
they just can’t stop it the (games people play)	spinners	atlantic	3284
together we can make such sweet music	spinners	motown	1235
truly yours	spinners	motown	1093
wake up susan	spinners	atlantic	3341
we’ll have it made	spinners	v.i.p.	25060
working my way back to you/forgive me girl	spinners	atlantic	3637
yesterday once more/nothing remains the same	spinners	atlantic	3798
you’re throwing a good love away	spinners	atlantic	3382
more today than yesterday	spiral starecase	columbia	44741
no one for me to turn to	spiral starecase	columbia	44924
she’s ready	spiral starecase	columbia	45048
1984	spirit	ode	128
animal zoo	spirit	epic	10648
i got a line on you	spirit	ode	115
mechanical world	spirit	ode	108
mr. skin	spirit	epic	10701
costafine town	splinter	dark horse	10002
i got you	split enz	a&m	2252
six months in a leaky boat	split enz	a&m	2411
dawn of correction	spokesmen	decca	31844
how can you mend a broken heart	spoonbread	Stang	5043
who listens to the radio	sports	arista	0468
i know why	spring	Way Out	2699
dear hearts and gentle people	springfields	philips	40072
island of dreams	springfields	philips	40099
silver threads and golden needles	springfields	philips	40038
it’s for you	springwell	parrot	359
boomerang	spunkadelic	SBK	07341
i can’t make it anymore	spyder turner	mgm	13692
stand by me	spyder turner	mgm	13617
cafe amore	spyro gyra	mca	51035
catching the sun	spyro gyra	mca	41180
morning dance	spyro gyra	infinity	50011
shaker song	spyro gyra	amherst	730
don’t run my life	spys	emi america	8124
853-5937	squeeze	a&m	2994
hourglass	squeeze	a&m	2967
tempted	squeeze	a&m	2345
the "a" team	ssgt. barry sadler	rca	8804
the ballad of the green berets	ssgt. barry sadler	rca	8739
rich man	st. paul	MCA	53110
stranger to love	st. paul	atlantic	87899
don’t make a fool of yourself	stacey q	atlantic	89135
two of hearts	stacey q	atlantic	89381
we connect	stacey q	atlantic	89331
love me all up	stacy earl	rca	62116
romeo and juliet	stacy earl	rca	62192
slowly	stacy earl	rca	62271
attack of the name game	stacy lattisaw	cotillion	99968
don't throw it all away	stacy lattisaw	Cotillion	47011
dynamite	stacy lattisaw	Cotillion	45015
every drop of your love	stacy lattisaw	Motown	1912
jump into my life	stacy lattisaw	Motown	1874
let me be your angel	stacy lattisaw	cotillion	46001
let me take you down	stacy lattisaw	Motown	1934
love on a two way street	stacy lattisaw	cotillion	46015
miracles	stacy lattisaw	cotillion	99855
nail it to the wall	stacy lattisaw	motown	1859
what you need	stacy lattisaw	Motown	1978
baby it's you	stacy lattisaw & johnny gill	Cotillion	99750
perfect combination	stacy lattisaw & johnny gill	cotillion	99785
where do we go from here	stacy lattisaw & johnny gill	Motown	2026
love cries	stage dolls	chrysalis	23366
old fashioned boy (you’re the one)	stallion	casablanca	877
devil you	stampeders	bell	45154
hit the road jack	stampeders	quality	501
sweet city woman	stampeders	bell	45120
banana boat (day-o)	stan freberg	capitol	3687
green chri$tma$	stan freberg	capitol	4097
st. george and the dragonet	stan freberg	capitol	2596
wun'erful wun'erful! (parts 1 & 2)	stan freberg	capitol	3815
desafinado	stan getz	verve	10260
the girl from ipanema	stan getz	verve	10322
mama sang a song	stan kenton	capitol	4847
boom-a-dip-dip	stan robinson	monument	402
can’t help but love you	standells	tower	348
dirty water	standells	tower	185
sometimes good guys don’t wear white	standells	tower	257
why pick on me	standells	tower	282
heaven sent you	stanley clarke	Epic	04485
sweet baby	stanley clarke	Epic	01052
we supply	stanley clarke	Epic	50890
heroes	stanley clarke/george duke	Epic	04155
i just want to love you	stanley clarke/george duke	Epic	02397
sweet baby	stanley clarke/george duke	Epic	01052
be what you are	staple singers	stax	0164
city in the sky	staple singers	stax	0215
for what it’s worth	staple singers	epic	10220
heavy makes you happy	staple singers	stax	0083
if you’re ready (come go with me)	staple singers	stax	0179
i’ll take you there	staple singers	stax	0125
let’s do it again	staple singers	curtom	0109
main man	staple singers	stax	0227
new orleans	staple singers	curtom	0113
oh la de da	staple singers	stax	0156
respect yourself	staple singers	stax	0104
this world	staple singers	stax	0137
touch a hand make a friend	staple singers	stax	0196
you’ve got to earn it	staple singers	stax	0093
love me, love me, love me	staples	Warner	8279
unlock your mind	staples	Warner	8669
theme from star trek ii	star trek ii	atlantic	4057
what can you get a wookie for christmas	star wars intergalactic droid choir & chorale	rso	1058
everybody be dancin’	starbuck	private stock	45144
i got to know	starbuck	private stock	45104
lucky man	starbuck	private stock	45125
moonlight feels right	starbuck	private stock	45039
searching for a thrill	starbuck	united artists	1245
theme song from “which way is up”	stargard	mca	40825
wear it out	stargard	Warner	49066
isn’t it lonely together	stark & mcbrien	rca	10109
afternoon delight	starland vocal band	windsong	10588
hail! hail! rock and roll!	starland vocal band	windsong	10855
loving you with my eyes	starland vocal band	windsong	11899
angel	starpoint	Chocolate City	3230
d.y.b.o.	starpoint	Elektra	69467
don't be so serious	starpoint	Boardwalk	178
he wants my body	starpoint	Elektra	69489
i just wanna dance with you	starpoint	Chocolate City	3208
i want you -- you want me	starpoint	Elektra	64979
it's all yours	starpoint	Elektra	69751
keep on it	starpoint	Chocolate City	3223
midnight love	starpoint	Elektra	64956
object of my desire	starpoint	elektra	69621
restless	starpoint	elektra	69561
say you will	starpoint	Elektra	69373
the more we love	starpoint	Elektra	69451
what you been missin'	starpoint	Elektra	69588
stars on 45 iii	stars on	Radio	4019
more stars on 45	stars on 45	radio	3863
stars on 45	stars on 45	radio	3810
stars on 45 ii	stars on 45	radio	3830
stars on 45 iii	stars on 45	radio	4019
(any way that you want it) i’ll be there	starz	capitol	4546
(she’s just a) fallen angel	starz	capitol	4343
cherry baby	starz	capitol	4399
sing it shout it	starz	capitol	4434
so young so bad	starz	capitol	4637
understanding	state of art	Columbia	74040
bed of rose’s	statler brothers	mercury	73141
flowers on the wall	statler brothers	columbia	43315
i’ll go to my grave loving you	statler brothers	mercury	73687
blue velvet	statues	liberty	55245
ice in the sun	status quo	cadet concept	7006
pictures of matchstick men	status quo	cadet concept	7001
everyone’s agreed that everything will turn out fine	stealers wheel	a&m	1450
star	stealers wheel	a&m	1483
stuck in the middle with you	stealers wheel	a&m	1416
i’ve gotta make you love me	steam	mercury	73020
na na hey hey kiss him goodbye	steam	fontana	1667
dreamin’ is easy	steel breeze	rca	13427
you don’t want me anymore	steel breeze	rca	13283
get it from the bottom	steelers	date	1642
i’ll never let you go	steelheart	mca	53801
she’s gone (lady)	steelheart	mca	54167
bad sneakers	steely dan	abc	12128
black friday	steely dan	abc	12101
deacon blues	steely dan	abc	12355
do it again	steely dan	abc	11338
fm (no static at all)	steely dan	mca	40894
hey nineteen	steely dan	mca	51036
josie	steely dan	abc	12404
my old school	steely dan	abc	11396
peg	steely dan	abc	12320
pretzel logic	steely dan	abc	12033
reeling in the years	steely dan	abc	11352
rikki don’t lose that number	steely dan	abc	11439
show biz kids	steely dan	abc	11382
the fez	steely dan	abc	12222
time out of mind	steely dan	mca	51082
holy cow	stefan	stax	0145
(you're puttin') a rush on me	stephanie mills	MCA	53151
all day, all night	stephanie mills	MCA	54474
bit by bit (theme from "fletch")	stephanie mills	mca	52617
comfort of a man	stephanie mills	MCA	53769
edge of the razor	stephanie mills	Casablanca	880445
home	stephanie mills	MCA	53712
how come u don't call me anymore	stephanie mills	Casablanca	814747
i feel good all over	stephanie mills	MCA	53056
i have learned to respect the power of love	stephanie mills	MCA	52799
i learned to respect the power of love	stephanie mills	mca	52799
if i were your woman	stephanie mills	MCA	53275
last night	stephanie mills	Casablanca	2352
never do you wrong	stephanie mills	MCA	54573
never knew love like this before	stephanie mills	20th century	2460
night games	stephanie mills	20th Century	2506
pilot error	stephanie mills	Casablanca	814142
rising desire	stephanie mills	MCA	52843
secret lady	stephanie mills	MCA	53209
something in the way (you make me feel)	stephanie mills	MCA	53624
stand back	stephanie mills	MCA	52731
sweet sensation	stephanie mills	20th century	2449
the medicine song	stephanie mills	casablanca	880180
two hearts	stephanie mills	20th century	2492
what cha gonna do with my lovin'	stephanie mills	20th century	2403
animal house	stephen bishop	ABC	12435
everybody needs love	stephen bishop	ABC	12406
it might be you	stephen bishop	Warner Brothers	29791
on and on	stephen bishop	ABC	12260
save it for a rainy day	stephen bishop	ABC	12232
city of windows	stephen monahan	kapp	835
can’t let go	stephen stills	atlantic	89611
change partners	stephen stills	atlantic	2806
isn’t it about time	stephen stills	atlantic	2959
it doesn’t matter	stephen stills	atlantic	2876
love the one you’re with	stephen stills	atlantic	2778
marianne	stephen stills	atlantic	2820
sit yourself down	stephen stills	atlantic	2790
stranger	stephen stills	atlantic	89633
turn back the pages	stephen stills	columbia	10179
born to be wild	steppenwolf	dunhill	4138
for ladies only	steppenwolf	dunhill	4292
hey lawdy mama	steppenwolf	dunhill	4234
it’s never too late	steppenwolf	dunhill	4192
magic carpet ride	steppenwolf	dunhill	4161
monster	steppenwolf	dunhill	4221
move over	steppenwolf	dunhill	4205
ride with me	steppenwolf	dunhill	4283
rock me	steppenwolf	dunhill	4182
screaming night hog	steppenwolf	dunhill	4248
snow blind friend	steppenwolf	dunhill	4269
straight shootin’ woman	steppenwolf	mums	6031
who needs ya	steppenwolf	dunhill	4261
connected	stereo mc's	gee street	864744
step it up	stereo mc's	gee street	862308
i really love you	stereos	cub	9095
sally	stetsasonic	Tommy Boy	912
talkin' all that jazz	stetsasonic	Tommy Boy	918
tonight i'll say a prayer	steve & eydie	rca	0250
we can make it together	steve & eydie	mgm	14383
we can make it together	steve & eydie featuring the osmonds	mgm	14383
amerikan music	steve alaimo	Entrance	7507
every day i have to cry	steve alaimo	Checker	1032
gotta have love	steve alaimo	Imperial	66003
real live girl	steve alaimo	ABC Paramount	10620
so much love	steve alaimo	ABC Paramount	10805
gravy waltz	steve allen	Dot	16457
i can't stop talking about you	steve and eydie	columbia	42932
i want to stay here	steve and eydie	columbia	42815
dancin' in the key of life	steve arrington	Atlantic	89535
feel so real	steve arrington	Atlantic	89576
homeboy	steve arrington	Atlantic	89397
stone love	steve arrington	Manhattan	50098
the jammin' national anthem	steve arrington	Atlantic	89428
hump to the bump	steve arrington's hall of fame	Atlantic	89715
nobody can be you	steve arrington's hall of fame	Atlantic	89876
weak at the knees	steve arrington's hall of fame	Atlantic	89831
wkrp in cincinnati	steve carlisle	MCA	51205
do you think i’m disco	steve dahl and teenage radiation	Ovation	1132
romeo's tune	steve forbert	nemperor	7525
say goodbye to little jo	steve forbert	nemperor	7529
johnny cool	steve gibbons band	mca	40551
(i don't care) only love me	steve lawrence	abc-paramount	10005
can't wait for summer	steve lawrence	coral	61834
don't be afraid little darlin'	steve lawrence	columbia	42699
everybody knows	steve lawrence	columbia	43037
footsteps	steve lawrence	abc-paramount	10085
fraulein	steve lawrence	coral	61876
girls girls girls	steve lawrence	united artists	233
go away little girl	steve lawrence	columbia	42601
in time	steve lawrence	united artists	335
many a time	steve lawrence	coral	62025
my claire de lune	steve lawrence	united artists	335
party doll	steve lawrence	coral	61792
poor little rich girl	steve lawrence	columbia	42795
portrait of my love	steve lawrence	united artists	291
pretty blue eyes	steve lawrence	abc-paramount	10058
