tell me (how it feels)	52nd street	54	5	1985-11-01
you' my last chance	52nd street	49	5	1986-01-03
chick-a-boom ft the sound of shag	53rd and 3rd featuring the sound of shag	36	4	1975-09-19
save a prayer	56k ft bejay	46	2	2003-04-18
aquarius / let the sunshine in	5th dimension	13	6	1969-04-25
into your heart	6 by six	51	2	1996-05-03
pig valentine	60 ft dolls	86	1	1995-11-03
stay	60 ft dolls	48	2	1996-02-02
alison's room	60ft dolls	61	2	1998-05-08
happy shopper	60ft dolls	38	2	1996-07-19
talk to me	60ft dolls	37	2	1996-05-10
white knuckle ride	60ft dolls	97	1	1995-05-12
alarma	666	58	2	1998-10-02
devil	666	18	4	2000-11-24
fe your mind	68 beats ft nicole graham	81	1	2002-07-12
gooba	6ix9ine	6	10	2020-05-15
gotti	6ix9ine	95	2	2018-04-20
yaya	6ix9ine	87	1	2020-07-10
trollz	6ix9ine & nicki minaj	12	5	2020-06-19
bebe	6ix9ine ft anuel aa	67	2	2018-09-07
stoopid	6ix9ine ft bobby shmurda	34	4	2018-10-12
tati	6ix9ine ft dj spinking	100	1	2018-06-08
tic toc	6ix9ine ft lil baby	43	2	2018-12-07
kika	6ix9ine ft tory lanez	9	10	2018-11-30
keke	6ix9ine/fetty wap/a boogie wit	98	1	2018-01-26
fefe	6ix9ine/minaj/murda beatz	17	11	2018-07-27
mama	6ix9ine/nicki minaj/kanye west	29	4	2018-11-30
ptty little fears	6lack ft j cole	86	1	2018-09-21
no doubt	702	59	2	1997-11-28
steelo	702	41	2	1996-12-13
whe my girls at?	702	22	4	1999-08-06
you don't know	702	36	3	1999-11-26
shimmy shake	740 boyz	54	2	1995-11-03
hee ah cumm	7669	76	2	1994-04-29
joy	7669	60	2	1994-06-17
the bottle	7th district inc.	93	1	1998-01-30
what a night	7th district inc/janine cross	78	1	2000-07-28
hanky panky	7th heaven	87	3	1987-05-22
hot fun	7th heaven	47	6	1985-09-06
10 x 10	808 state	67	1	1993-06-25
azura	808 state	79	1	1996-08-23
bombadin	808 state	67	2	1994-08-12
bond	808 state	57	2	1996-06-28
cubik / olympic	808 state	10	12	1990-11-09
in yer face	808 state	9	6	1991-02-15
lift / open your mind	808 state	38	4	1991-08-16
lopez	808 state	20	2	1997-02-07
